TYPE_OF_CANCER_ID	CANCER_NAME
empsgc	EndocrineMucinProducingSweatGlandCarcinoma
emyoca	Epithelial-MyoepithelialCarcinoma
encg	EncapsulatedGlioma
enkl	ExtranodalNK-/T-CellLymphoma,NasalType
eov	EndometrioidOvarianCancer
ep	ExtraosseousPlasmacytoma
epdca	EsophagealPoorlyDifferentiatedCarcinoma
epis	EpithelioidSarcoma
epm	Ependymoma
epmt	EpendymomalTumor
erms	EmbryonalRhabdomyosarcoma
es	EwingSarcoma
esca	EsophagealAdenocarcinoma
escc	EsophagealSquamousCellCarcinoma
esmm	MucosalMelanomaoftheEsophagus
ess	EndometrialStromalSarcoma
esst	EwingSarcomaofSoftTissue
et	EssentialThrombocythemia
etantr	EmbryonalTumorwithAbundantNeuropilandTrueRosettes
etmf	EssentialThrombocythemiaMyelofibrosis
etpll	EarlyT-CellPrecursorLymphoblasticLeukemia
ett	EpithelioidTrophoblasticTumor
evn	ExtraventricularNeurocytoma
eye	Eye
fa	Fibroadenoma
fdcs	FollicularDendriticCellSarcoma
fhptld	FloridFollicularHyperplasiaPTLD
fhrcc	FH-DeficientRenalCellCarcinoma
fibs	Fibrosarcoma
fios	FibroblasticOsteosarcoma
fl	FollicularLymphoma
flc	FibrolamellarCarcinoma
frct	FibroblasticReticularCellTumor
ft	Fibrothecoma
ftcl	FollicularT-CellLymphoma
gb	Glioblastoma
gbad	GallbladderAdenocarcinoma,NOS
gbasc	AdenosquamousCarcinomaoftheGallbladder
gbc	GallbladderCancer
gbm	GlioblastomaMultiforme
gcb	GerminalCenterB-CellType
gccap	GobletCellCarcinoidoftheAppendix
gcemu	GastricTypeMucinousCarcinoma
gclc	GiantCellCarcinomaoftheLung
gct	GranularCellTumor
gctb	GiantCellTumorofBone
gej	AdenocarcinomaoftheGastroesophagealJunction
ghcd	GammaHeavy-ChainDisease
ginet	GastrointestinalNeuroendocrineTumors
ginetes	GastrointestinalNeuroendocrineTumorsoftheEsophagus/Stomach
gist	GastrointestinalStromalTumor
gmn	Germinoma
gn	Ganglioneuroma
gnbl	Ganglioneuroblastoma
gnc	Gangliocytoma
gng	Ganglioglioma
gnos	Glioma,NOS
grc	GastricRemnantAdenocarcinoma
grct	GranulosaCellTumor
gs	Glomangiosarcoma
gsarc	Gliosarcoma
gtd	GestationalTrophoblasticDisease
hcc	HepatocellularCarcinoma
hccihch	HepatocellularCarcinomaplusIntrahepaticCholangiocarcinoma
hcl	HairyCellLeukemia
hcl-v	HairyCellLeukemia-Variant
hdcn	HistiocyticandDendriticCellNeoplasms
hdcs	HistiocyticDendriticCellSarcoma
head_neck	HeadandNeck
hema	Hemangioma
hgbcl	High-GradeB-CellLymphoma,NOS
hgbclmycbcl2	High-GradeB-CellLymphoma,withMYCandBCL2and/orBCL6Rearrangements
hgess	High-GradeEndometrialStromalSarcoma
hggnos	High-GradeGlioma,NOS
hgnec	High-GradeNeuroendocrineCarcinomaoftheColonandRectum
hgnee	High-GradeNeuroendocrineCarcinomaoftheEsophagus
hgnes	High-GradeNeuroendocrineCarcinomaoftheStomach
hgnet	High-GradeNeuroepithelialTumor
hgonec	High-GradeNeuroendocrineCarcinomaoftheOvary
hgsft	High-GradeSerousFallopianTubeCancer
hgsoc	High-GradeSerousOvarianCancer
hgsos	High-GradeSurfaceOsteosarcoma
hhv8dlbcl	HHV8PositiveDLBCL,NOS
hl	HodgkinLymphoma
hmbl	Hemangioblastoma
hnmasc	MammaryAnalogueSecretoryCarcinomaofSalivaryGlandOrigin
hnmucm	HeadandNeckMucosalMelanoma
hnne	HeadandNeckNeuroendocrineCarcinoma
hnsc	HeadandNeckSquamousCellCarcinoma
hnscup	HeadandNeckSquamousCellCarcinomaofUnknownPrimary
hpccns	HemangiopericytomaoftheCentralNervousSystem
hphsc	HypopharynxSquamousCellCarcinoma
hs	HistiocyticSarcoma
hstcl	HepatosplenicT-cellLymphoma
htat	HyalinizingTrabecularAdenomaoftheThyroid
hvll	HydroaVacciniformeLikeLymphoproliferativeDisorder
iampca	IntestinalAmpullaryCarcinoma
ibc	InflammatoryBreastCancer
icemu	IntestinalTypeMucinousCarcinoma
idc	BreastInvasiveDuctalCarcinoma
idcs	InterdigitatingDendriticCellSarcoma
idct	IndeterminateDendriticCellTumor
ifs	InfantileFibrosarcoma
ihch	IntrahepaticCholangiocarcinoma
ihm	InvasiveHydatidiformMole
ilc	BreastInvasiveLobularCarcinoma
immc	BreastInvasiveMixedMucinousCarcinoma
imptld	InfectiousMononucleosisPTLD
ims	Myofibromatosis
imt	InflammatoryMyofibroblasticTumor
imtb	InflammatoryMyofibroblasticBladderTumor
imtl	InflammatoryMyofibroblasticLungTumor
ints	IntimalSarcoma
ipmn	IntraductalPapillaryMucinousNeoplasm
isfn	InSituFollicularNeoplasia
ism	IndolentSystemicMastocytosis
ismcl	InSituMantleCellNeoplasia
istad	IntestinalTypeStomachAdenocarcinoma
itlpdgi	IndolentT-CellLymphoproliferativeDisorderoftheGITract
iup	InvertedUrothelialPapilloma
ivbcl	IntravascularLargeB-CellLymphoma
jmml	JuvenileMyelomonocyticLeukemia
jscb	JuvenileSecretoryCarcinomaoftheBreast
jxg	DisseminatedJuvenileXanthogranuloma
kidney	Kidney
lais	LungAdenocarcinomaInSitu
lam	PulmonaryLymphangiomyomatosis
latl	LymphoidAtypical
lbgn	LymphoidBenign
lblirf4	LargeB-CellLymphomawithIRF4Rearrangement
lch	LangerhansCellHistiocytosis
lcis	BreastLobularCarcinomaInSitu
lclc	LargeCellLungCarcinoma
lcs	LangerhansCellSarcoma
ldchl	Lymphocyte-DepletedClassicalHodgkinLymphoma
ldd	DysplasticGangliocytomaoftheCerebellum/Lhermitte-DuclosDisease
leclc	Lymphoepithelioma-likeCarcinomaoftheLung
lgcos	Low-GradeCentralOsteosarcoma
lgess	Low-GradeEndometrialStromalSarcoma
lgfms	Low-GradeFibromyxoidSarcoma
lggnos	Low-GradeGlioma,NOS
lgnet	Low-GradeNeuroepithelialTumor
lgsoc	Low-GradeSerousOvarianCancer
liad	HepatocellularAdenoma
lias	LiverAngiosarcoma
lihb	Hepatoblastoma
limnet	MalignantNonepithelialTumoroftheLiver
lipo	Liposarcoma
liver	Liver
lms	Leiomyosarcoma
lnet	LungNeuroendocrineTumor
lnm	LymphoidNeoplasm
lpl	LymphoplasmacyticLymphoma
lrchl	Lymphocyte-RichClassicalHodgkinLymphoma
luacc	AdenoidCysticCarcinomaoftheLung
luad	LungAdenocarcinoma
luas	LungAdenosquamousCarcinoma
luca	LungCarcinoid
lumec	MucoepidermoidCarcinomaoftheLung
lune	LargeCellNeuroendocrineCarcinoma
lung	Lung
lupc	PleomorphicCarcinomaoftheLung
lusc	LungSquamousCellCarcinoma
lxsc	LarynxSquamousCellCarcinoma
lyg	LymphomatoidGranulomatosis
lymph	Lymphoid
lyp	LymphomatoidPapulosis
maap	MucinousAdenocarcinomaoftheAppendix
mac	MicrocysticAdnexalCarcinoma
macr	MucinousAdenocarcinomaoftheColonandRectum
mampca	MixedAmpullaryCarcinoma
masc	MetaplasticAdenosquamousCarcinoma
mascc	MetaplasticAdenocarcinomawithSpindleCellDifferentiation
matpl	MyeloidAtypical
mbc	MetaplasticBreastCancer
mben	MedulloblastomawithExtensiveNodularity
mbgn	MyeloidBenign
mbl	Medulloblastoma
mbn	MatureB-CellNeoplasms
mbov	MucinousBorderlineOvarianTumor
mbt	MiscellaneousBrainTumor
mcbcl	MonoclonalB-CellLymphocytosis
mcc	MerkelCellCarcinoma
mcce	MixedCervicalCarcinoma
mcchl	MixedCellularityClassicalHodgkinLymphoma
mcd	Mastocytosis
mchs	MesenchymalChondrosarcoma
mchscns	MesenchymalChondrosarcomaoftheCNS
mcl	MantleCellLymphoma
mcn	MucinousCysticNeoplasm
mcs	MetaplasticCarcinosarcoma
mcsl	MastCellSarcoma
mdep	Medulloepithelioma
mdlc	BreastMixedDuctalandLobularCarcinoma
mds	MyelodysplasticSyndromes
mds/mpn	Myelodysplastic/MyeloproliferativeNeoplasms
mdseb	MDSwithExcessBlasts
mdseb1	MDSwithexcessblasts-1
mdseb2	MDSwithexcessblasts-2
mdsid5q	MDSwithIsolatedDel(5q)
mdsmd	MDSwithMultilineageDysplasia
mdsmpnrst	MDS/MPNwithRingSideroblastsandThrombocytosis
mdsmpnu	MDS/MPN,Unclassifiable
mdsrs	MDSwithRingSideroblasts
mdsrsmd	MDSwithRingSideroblastsandMultilineageDysplasia
mdsrssld	MDSwithRingSideroblastsandSingleLineageDysplasia
mdssld	MDSwithSingleLineageDysplasia
mdsu	MDS,Unclassifiable
meatl	MonomorphicEpitheliotropicIntestinalT-CellLymphoma
mel	Melanoma
melc	Melanocytoma
mf	Myofibroma
mfh	UndifferentiatedPleomorphicSarcoma/MalignantFibrousHistiocytoma/High-GradeSpindleCellSarcoma
mfs	Myxofibrosarcoma
mgct	MixedGermCellTumor
mgst	MalignantGlomusTumor
mgus	MonoclonalGammopathyofUndeterminedSignificance
mgusiga	IgA
mgusigg	IgG
mgusigm	IgM
mhcd	MuHeavy-ChainDisease
midd	MonoclonalImmunoglobulinDepositionDiseases
midda	Amyloidosis
middo	MonoclonalImmunoglobulinDepositionDiseases,Other
mixed	MixedCancerTypes
mlads	MyeloidLeukemiaAssociatedwithDownSyndrome
mlner	Myeloid/LymphoidNeoplasmswithEosinophiliaandRearrangementofPDGFRA/PDGFRBorFGFR1orwithPCM1-JAK2
mlnfgfr1	Myeloid/LymphoidNeoplasmswithFGFR1Rearrangement
mlnpcm1jak2	Myeloid/LymphoidNeoplasmswithPCM1-JAK2
mlnpdgfra	Myeloid/LymphoidNeoplasmswithPDGFRARearrangement
mlnpdgfrb	Myeloid/LymphoidNeoplasmswithPDGFRBRearrangement
mlym	MalignantLymphoma
mmb	Medullomyoblastoma
mmbc	MixedTypeMetaplasticBreastCancer
mmbl	MelanoticMedulloblastoma
mnet	MiscellaneousNeuroepithelialTumor
mng	Meningioma
mnglp	MyeloidNeoplasmswithGermLinePredisposition
mngt	MeningothelialTumor
mnm	MyeloidNeoplasm
mov	MucinousOvarianCancer
mp	MolarPregnancy
mpalbcrabl1	MixedPhenotypeAcuteLeukemiawitht(9;22)(q34.1;q11.2);BCR-ABL1
mpalbnos	MixedPhenotypeAcuteLeukemia,B/Myeloid,NOS
mpalkmt2a	MixedPhenotypeAcuteLeukemiawitht(v;11q23.3);KMT2ARearranged
mpaltnos	MixedPhenotypeAcuteLeukemia,T/Myeloid,NOS
mpc	Myopericytoma
mpe	MyxopapillaryEpendymoma
mpn	MyeloproliferativeNeoplasms
mpnst	MalignantPeripheralNerveSheathTumor
mpnu	MyeloproliferativeNeoplasms,Unclassifiable
mprds	MyeloidProliferationsRelatedtoDownSyndrome
mpt	MalignantPhyllodesTumoroftheBreast
mptld	MonomorphicPTLD(B-andT-/NK-celltypes)
mrc	RenalMedullaryCarcinoma
mrls	Myxoid/Round-CellLiposarcoma
mrt	RhabdoidCancer
mrtl	MalignantRhabdoidTumoroftheLiver
ms	MyeloidSarcoma
mscc	MetaplasticSquamousCellCarcinoma
mschw	MelanoticSchwannoma
mstad	MucinousStomachAdenocarcinoma
mt	MalignantTumor
mtnn	MatureTandNKNeoplasms
mtscc	RenalMucinousTubularSpindleCellCarcinoma
mucc	MucoepidermoidCarcinoma
mup	MelanomaofUnknownPrimary
mxov	MixedOvarianCarcinoma
mycf	MycosisFungoides
mychs	MyxoidChondrosarcoma
myec	MyoepithelialCarcinoma
myeloid	Myeloid
myxo	Myxoma
mzl	MarginalZoneLymphoma
nbl	Neuroblastoma
nccrcc	RenalNon-ClearCellCarcinoma
necnos	NeuroendocrineCarcinoma,NOS
netnos	NeuroendocrineTumor,NOS
nfib	Neurofibroma
nhl	Non-HodgkinLymphoma
nkcll	NaturalKiller(NK)CellLymphoblasticLeukemia/Lymphoma
nlphl	NodularLymphocyte-PredominantHodgkinLymphoma
nmchn	NUTMidlineCarcinomaoftheHeadandNeck
nmzl	NodalMarginalZoneLymphoma
npc	NasopharyngealCarcinoma
nptltfh	NodalPeripheralT-CellLymphomawithTFHPhenotype
nschl	NodularSclerosisClassicalHodgkinLymphoma
nsclc	Non-SmallCellLungCancer
nsclcpd	PoorlyDifferentiatedNon-SmallCellLungCancer
nsgct	Non-SeminomatousGermCellTumor
nst	NerveSheathTumor
oast	Oligoastrocytoma
oat	OncocyticAdenomaoftheThyroid
ocnos	OvarianChoriocarcinoma,NOS
ocs	OvarianCarcinosarcoma/MalignantMixedMesodermalTumor
ocsc	OralCavitySquamousCellCarcinoma
odg	Oligodendroglioma
odgc	OdontogenicCarcinoma
odys	Dysgerminoma
oec	EmbryonalCarcinoma
ofmt	OssifyingFibromyxoidTumor
ogbl	Gonadoblastoma
ogct	OvarianGermCellTumor
ohnca	HeadandNeckCarcinoma,Other
oimt	ImmatureTeratoma
om	OcularMelanoma
omgct	MixedGermCellTumor
omt	MatureTeratoma
onbl	OlfactoryNeuroblastoma
oovc	OvarianCancer,Other
ope	Polyembryoma
ophsc	OropharynxSquamousCellCarcinoma
os	Osteosarcoma
osaca	SalivaryCarcinoma,Other
osgct	OsteoclasticGiantCellTumor
osmad	OvarianSeromucinousAdenoma
osmbt	OvarianSeromucinousBorderlineTumor
osmca	OvarianSeromucinousCarcinoma
osos	OsteoblasticOsteosarcoma
other	Other
ousarc	UterineSarcoma,Other
outt	OtherUterineTumor
ovary	Ovary/FallopianTube
ovt	OvarianEpithelialTumor
oyst	YolkSacTumor
paac	AcinarCellCarcinomaofthePancreas
paad	PancreaticAdenocarcinoma
paasc	AdenosquamousCarcinomaofthePancreas
pact	CysticTumorofthePancreas
pampca	PancreatobiliaryAmpullaryCarcinoma
pancreas	Pancreas
panet	PancreaticNeuroendocrineTumor
paos	ParostealOsteosarcoma
past	PilocyticAstrocytoma
pb	Pancreatoblastoma
pbl	Pineoblastoma
pbs	BreastSarcoma
pbt	PrimaryBrainTumor
pcaectcl	PrimaryCutaneousCD8PositiveAggressiveEpidermotropicCytotoxicT-CellLymphoma
pcalcl	PrimaryCutaneousAnaplasticLargeCellLymphoma
pcatcl	PrimaryCutaneousAcralCD8PositiveT-CellLymphoma
pcfcl	PrimaryCutaneousFollicleCenterLymphoma
pcgdtcl	PrimaryCutaneousGammaDeltaT-CellLymphoma
pcgp	Craniopharyngioma,PapillaryType
pclbcllt	PrimaryCutaneousDLBCL,LegType
pclpd	PrimaryCutaneousCD30PositiveT-CellLymphoproliferativeDisorders
pcm	PlasmaCellMyeloma
pcnsl	PrimaryDLBCLofthecentralnervoussystem
pcnsm	PrimaryCNSMelanoma
pcnsmt	PrimaryCNSMelanocyticTumors
pcsmtpld	PrimaryCutaneousCD4PositiveSmall/MediumT-CellLymphoproliferativeDisorder
pct	PorphyriaCutaniaTarda
pd	PagetDiseaseoftheNipple
pdc	PoorlyDifferentiatedCarcinoma,NOS
pecoma	PerivascularEpithelioidCellTumor
pel	PrimaryEffusionLymphoma
pemeso	PeritonealMesothelioma
penis	Penis
peos	PeriostealOsteosarcoma
peritoneum	Peritoneum
perl	PureErythroidLeukemia
pgng	Paraganglioma
pgnt	PapillaryGlioneuronalTumor
phc	Pheochromocytoma
phch	PerihilarCholangiocarcinoma
phm	PartialHydatidiformMole
phptld	PlasmacyticHyperplasiaPTLD
pinc	Pineocytoma
pint	PinealTumor
plbl	PlasmablasticLymphoma
plbmeso	PleuralMesothelioma,BiphasicType
plemeso	PleuralMesothelioma,EpithelioidType
pleura	Pleura
plls	PleomorphicLiposarcoma
plmeso	PleuralMesothelioma
plrms	PleomorphicRhabdomyosarcoma
plsmeso	PleuralMesothelioma,SarcomatoidType
pma	PilomyxoidAstrocytoma
pmbl	PrimaryMediastinal(Thymic)LargeB-CellLymphoma
pmf	PrimaryMyelofibrosis
pmfofs	PrimaryMyelofibrosis,OvertFibroticStage
pmfpes	PrimaryMyelofibrosis,Prefibrotic/EarlyStage
pmhe	PseudomyogenicHemangioendothelioma
pnet	PrimitiveNeuroectodermalTumor
pns	PeripheralNervousSystem
poca	Porocarcinoma/Spiroadenocarcinoma
poro	Poroma/Acrospiroma
ppb	PleuropulmonaryBlastoma
ppct	ProliferatingPilarCysticTumor
ppm	PapillaryMeningioma
pptid	PinealParenchymalTumorofIntermediateDifferentiation
pptld	PolymorphicPTLD
prad	ProstateAdenocarcinoma
prcc	PapillaryRenalCellCarcinoma
prne	ProstateNeuroendocrineCarcinoma
prnet	PrimaryNeuroepithelialTumor
prostate	Prostate
prsc	ProstateSquamousCellCarcinoma
prscc	ProstateSmallCellCarcinoma
psc	SerousCystadenomaofthePancreas
pscc	PenileSquamousCellCarcinoma
psec	PeritonealSerousCarcinoma
pstad	PapillaryStomachAdenocarcinoma
pstt	PlacentalSiteTrophoblasticTumor
pt	PhyllodesTumoroftheBreast
ptad	PituitaryAdenoma
ptca	PituitaryCarcinoma
ptcl	PeripheralT-Celllymphoma,NOS
ptcy	Pituicytoma
ptes	Proximal-TypeEpithelioidSarcoma
ptfl	Pediatric-TypeFollicularLymphoma
